UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
446288,"R",31,"R",0,"R",31,"R",0,"R",22,"Z",0,"Z",0,"R",9,"R",19,"Z",0,"R",19,"R",14,"R",5,"Z",0,"R",5,"R",5,"R",7,"Z",0,"R",7,"R",3
446349,"R",6,"R",0,"R",6,"R",1,"R",6,"R",0,"R",0,"R",0,"R",6,"Z",0,"R",6,"R",6,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
446455,"R",21,"R",0,"R",21,"R",20,"R",20,"R",0,"R",0,"R",1,"R",13,"Z",0,"R",13,"R",13,"R",2,"Z",0,"R",2,"R",2,"R",6,"Z",0,"R",6,"R",5
446516,"R",2,"R",0,"R",2,"R",1,"R",1,"R",0,"R",0,"R",1,"R",2,"Z",0,"R",2,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
447023,"R",871,"R",0,"R",871,"R",565,"R",565,"R",0,"R",0,"R",306,"R",733,"Z",0,"R",733,"R",454,"R",43,"Z",0,"R",43,"R",32,"R",95,"Z",0,"R",95,"R",79
447148,"R",67,"R",0,"R",67,"R",2,"R",33,"R",0,"R",2,"R",32,"R",59,"Z",0,"R",59,"R",28,"R",4,"Z",0,"R",4,"R",1,"R",4,"Z",0,"R",4,"R",4
447166,"R",24,"R",0,"R",24,"R",1,"R",19,"R",0,"R",0,"R",5,"R",16,"Z",0,"R",16,"R",11,"R",3,"Z",0,"R",3,"R",3,"R",5,"Z",0,"R",5,"R",5
447175,"R",23,"R",0,"R",23,"R",0,"R",2,"R",0,"R",0,"R",21,"R",22,"Z",0,"R",22,"R",2,"R",1,"Z",0,"R",1,"R",0,"R",0,"Z",0,"R",0,"R",0
447379,"R",275,"R",0,"R",275,"R",139,"R",177,"R",9,"R",0,"R",89,"R",219,"Z",0,"R",219,"R",152,"R",20,"Z",0,"R",20,"R",15,"R",36,"Z",0,"R",36,"R",10
447449,"R",32,"Z",0,"R",32,"R",31,"R",31,"Z",0,"Z",0,"R",1,"R",32,"Z",0,"R",32,"R",31,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
